institution;country;papers;latitude;longitude
Tampere University;FI;10;61.4934627;23.77895
University of California San Diego;US;10;32.8792438;-117.2311247
University of California, Berkeley;US;10;37.8707751;-122.2656754
University of Gothenburg;SE;10;57.6864579;11.9589874
University of Hong Kong;HK;10;22.2828768;114.1378586
University of Maryland, College Park;US;10;38.9904124;-76.9438586
Yokohama National University;JP;10;35.4737978;139.5900454
École de Technologie Supérieure;CA;10;45.4945155;-73.5628555
Aalborg University;DK;9;57.0156429;9.9752962
Birmingham City University;GB;9;52.4822706;-1.8888148
Bournemouth University;GB;9;50.7263665;-1.8613398
Centre de Recherche en Informatique, Signal et Automatique de Lille;FR;9;;
Commonwealth Scientific and Industrial Research Organisation;AU;9;-31.9495086;115.7896174
Electronics and Telecommunications Research Institute;KR;9;35.2257318;126.8442521
Huazhong University of Science and Technology;CN;9;30.5202172;114.4118463
Idiap Research Institute;CH;9;;
Instituto Tecnológico de Costa Rica;CR;9;9.8535173;-83.9087134
Johns Hopkins University;US;9;39.3302023;-76.6218536
Peking University;CN;9;40.1750746;116.1593872
Rensselaer Polytechnic Institute;US;9;42.7298969;-73.6796678
Stanford University;US;9;37.4313138;-122.1693654
Universitat de Barcelona;ES;9;41.3868595;2.1634784
University College Cork;IE;9;51.8947012;-8.4903105
University of Manchester;GB;9;53.4660226;-2.2330858
University of Pisa;IT;9;14.0780849;-83.4022253
University of Technology Sydney;AU;9;-33.8832536;151.2003294
University of Tübingen;DE;9;48.5340595;9.0712444
University of Virginia;US;9;38.0410576;-78.5055084
Université de Lille;FR;9;50.6285707;3.125956
Uppsala University;SE;9;59.8576363;17.6294616
Wuhan University;CN;9;30.5373773;114.361535
Xidian University;CN;9;34.1251589;108.8289653
Xi’an Jiaotong-Liverpool University;CN;9;31.2757194;120.7354789
AGH University of Krakow;PL;8;50.0657583;19.9192221
Boston University;US;8;42.3504215;-71.1032247
Bo?aziçi University;TR;8;;
Chinese University of Hong Kong;HK;8;22.4140914;114.2100208
Data61;AU;8;-33.8954501;151.1970367
Gifu University;JP;8;35.4644408;136.7380014
Hangzhou Dianzi University;CN;8;30.3033132;120.3741385
IMT Atlantique;FR;8;48.3578233;-4.570741
Indian Institute of Technology Patna;IN;8;25.5424381;84.8516072
KDDI Research (Japan);JP;8;35.8792748;139.5176466
Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance;FR;8;;
Ministry of Education of the People's Republic of China;CN;8;39.9123408;116.3630203
National Institute of Astrophysics, Optics and Electronics;MX;8;;
National Yang Ming Chiao Tung University;TW;8;24.7867677;120.9972441
Rutgers, The State University of New Jersey;US;8;;
Shandong University;CN;8;36.3688546;120.6737612
Shanghai Institutes for Biological Sciences;CN;8;;
Sony Computer Science Laboratories;JP;8;;
South China Normal University;CN;8;23.1430189;113.3386042
The University of Melbourne;AU;8;-37.7969983;144.954471
Universitat Pompeu Fabra;ES;8;41.3892781;2.1911055
University of Copenhagen;DK;8;55.6801502;12.572327
University of Pennsylvania;US;8;39.9522148;-75.1955729
University of Strathclyde;GB;8;55.8618812;-4.2419566
University of Stuttgart;DE;8;48.7783451;9.1863189
University of Sussex;GB;8;50.8674377;-0.0877259
Université de Bordeaux;FR;8;44.7978951;-0.6172718
USC Institute for Creative Technologies;US;8;;
Arizona State University;US;7;33.4213174;-111.9331631
Bilkent University;TR;7;39.870469;32.7539193
Capital Normal University;CN;7;39.9288664;116.3000545
Carleton University;CA;7;45.3858581;-75.6950041
Centrum Wiskunde & Informatica;NL;7;52.3564959;4.9521303
Chongqing University of Posts and Telecommunications;CN;7;29.5319556;106.603428
Curtin University;AU;7;-32.0058367;115.8974683
Duke Kunshan University;CN;7;31.417489;120.8952325
Dyson (United Kingdom);GB;7;51.5952912;-2.1051101
East China Normal University;CN;7;31.2284923;121.4021139
Educational Testing Service;US;7;40.3458895;-74.7142599
Foundation for Research and Technology Hellas;GR;7;35.3048208;25.0723025
Fraunhofer Institute for Integrated Circuits;DE;7;51.0312338;13.7242378
HES-SO Fribourg;CH;7;46.7966987;7.1506995
Indian Institute of Technology Delhi;IN;7;28.5449971;77.1891506
Indian Institute of Technology Kharagpur;IN;7;22.3146519;87.3099912
Inserm;FR;7;45.7442613;4.8765302
Institut national de recherche en sciences et technologies du numérique;FR;7;48.6655909;6.1574513
Institute for Infocomm Research;SG;7;;
International Institute of Information Technology Bangalore;IN;7;12.8447999;77.663239
Linköping University;SE;7;58.3977911;15.5754544
Nanjing Institute of Technology;CN;7;31.9258106;118.8766921
Nanjing University of Aeronautics and Astronautics;CN;7;32.037419;118.8153537
Rice University;US;7;29.7167915;-95.4047811
RMIT University;AU;7;-37.6804123;145.0634302
Seikei University;JP;7;35.7118165;139.5730897
Singapore University of Technology and Design;SG;7;1.3401423;103.9650566
Southwest University;CN;7;29.8232372;106.4195884
University of Alberta;CA;7;53.52682;-113.5244937
"University of Campania ""Luigi Vanvitelli""";IT;7;;
University of Connecticut;US;7;41.8119263;-72.2647704
University of Denver;US;7;39.6766157;-104.9623745
University of Kansas;US;7;38.9535052;-95.263093
University of Lausanne;CH;7;46.5225695;6.5809499
University of Southern Queensland;AU;7;-27.6067483;151.9293708
University of Zurich;CH;7;47.4968435;8.7298072
Université de Bretagne Occidentale;FR;7;47.9813699;-4.0975252
École Centrale de Lille;FR;7;50.6065889;3.1363694
Amazon (United States);US;6;40.1565523;-76.8253861
Anhui University;CN;6;31.8471875;117.2501336
Barcelona Supercomputing Center;ES;6;41.3897809;2.1163849
Beijing Institute of Education;CN;6;40.0006366;116.3214558
Beijing University of Technology;CN;6;39.8739144;116.4772024
Centre de Recherche en Informatique;FR;6;12.3772866;-1.5030046
DePaul University;US;6;41.9245803;-87.6507223
Friedrich-Alexander-Universität Erlangen-Nürnberg;DE;6;;
Fudan University;CN;6;31.3011748;121.4974703
Google (United States);US;6;42.35092;-71.0783603
Hellenic Mediterranean University;GR;6;35.3153418;25.1023938
Hong Kong University of Science and Technology;HK;6;22.3387206;114.2618989
Huawei Technologies (China);CN;6;31.2617972;121.6243165
Hunan University;CN;6;28.1795483;112.9403739
Indian Institute of Technology Kanpur;IN;6;26.513188;80.2364843
Institute of Computing Technology;CN;6;34.6988529;135.1936779
Institute of High Performance Computing;SG;6;1.2987334;103.7871933
Karlsruhe Institute of Technology;DE;6;49.1018534;8.4331202
Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur;FR;6;48.7071068;2.1763013
Laboratoire des Sciences du Numérique de Nantes;FR;6;47.2501161;-1.5472698
Leibniz University Hannover;DE;6;52.3827497;9.7181212
Leibniz-Institut für Wissensmedien;DE;6;48.5246575;9.0547112
Maastricht University;NL;6;50.8472117;5.6859518
Macau University of Science and Technology;;6;22.1526454;113.568041
Nihon University;JP;6;35.6971554;139.7625818
Northwestern University;US;6;42.0557157;-87.6752945
Pennsylvania State University;US;6;40.8128971;-77.8710571
Purdue University West Lafayette;US;6;40.430028;-86.9264211
Rochester Institute of Technology;US;6;43.0826701;-77.6729322
Stockholm University;SE;6;59.366141;18.059593
Tokushima University;JP;6;34.0788068;134.558981
United States Army Combat Capabilities Development Command;US;6;;
Universidade Estadual de Campinas (UNICAMP);BR;6;;
University of Algarve;PT;6;;
University of Coimbra;PT;6;40.207448;-8.4255578
University of Miami;US;6;25.7172725;-80.2787069
University of Naples Federico II;IT;6;;
University of Oregon;US;6;44.0444197;-123.0717603
University of Oxford;GB;6;51.7525461;-1.2143168
University of the Basque Country;ES;6;43.3092116;-2.0107938
University of Tsukuba;JP;6;36.1070526;140.1006602
Università Cattolica del Sacro Cuore;IT;6;45.4618543;9.1770563
West Virginia University;US;6;39.6348398;-79.9542095
Yale University;US;6;41.2571306;-72.9896696
Alibaba Group (China);CN;5;30.1918037;120.185449
Amsterdam University of Applied Sciences;NL;5;;
Birla Institute of Technology and Science, Pilani;IN;5;;
Capital Medical University;CN;5;39.8633289;116.3469177
